name,lat,lon,adresseRue,adresseCode
FO-POP134 (CT34),49.64930121,6.24152666,3 Chaussée St. Martin, L-6960 Senningen
FO-POP1218,49.88463776,5.9847936,6D Am Clemensbongert, L-9158 Heiderscheid
FO-POP1219,49.63385106,6.16583674,1A Rue Joseph Hess, L-1732 Luxembourg
FO-POP144 (CT44),49.60668423,6.10302882,1 Rue Yolande, L-2761 Luxembourg
FO-POP1129,49.57989059,6.16488679,Rue d'Itzig, L-5852 Hesperange
FO-POP156 (CT56),49.47553018,6.03993068,9 Rue Thomas Byrne, L-3761 Tetange
FO-POP169 (CT69),49.54657154,6.36131445,3 Place Nico Klopp, L-5539 Remich
FO-POP1231,49.61484825,6.06243749,28 Rue de Strassen, L-8094 Bertrange
FO-POP1267,49.54051505,6.26785754,21 Draikantonstrooss, L-5687 Dalheim
FO-POP150 (CT50),49.55509386,5.87687934,13 Avenue de la Gare, L-4734 Petange
FO-POP159 (CT59),49.51584228,5.93549527,168 Rue de Soleuvre, L-4487 Belvaux
FO-POP139 (CT39),49.65989663,5.91581043,7 Rue de Luxembourg, L-8440 Steinfort
FO-POP136 (CT36),49.56480175,6.16257496,483 Route de Thionville, L-5887 Alzingen
FO-POP151 (CT51),49.49340658,6.08586883,250 Route de Burange, L-3429 Dudelange
FO-POP143 (CT43),49.61824107,6.14464968,2 Rue du Fort Thuengen, L-1499 Luxembourg
FO-POP130 (CT30),49.66850078,6.03028029,24 Rue d'Olm, L-8281 Kehlen
FO-POP153 (CT53),49.49259967,5.98081692,9 Rue Xavier Brasseur, L-4040 Esch-sur-Alzette
FO-POP133 (CT33),49.6693447,6.13564155,81 Rue de Luxembourg, L-7330 Heisdorf
FO-POP135 (CT35),49.60137597,6.25842665,4A Montée d'Oetrange, L-5351 Oetrange
FO-POP237 (CT37),49.55309284,6.01247959,RN13 Ehlange-Reckange, L-4980 Reckange-sur-Mess
FO-POP138 (CT38),49.61775859,5.95052212,45 Rue des Trois Cantons, L-8354 Garnich
FO-POP163 (CT63),49.74758424,5.97424383,1A Schwebach, L-8561 Schwebach
FO-POP164 (CT64),49.84100518,5.8116896,1 Route de Martelange, L-8821 Riesenhof
FO-POP171 (CT71),49.69917767,6.38618864,4 Haerebierg, L-6868 Wecker
FO-POP274 (CT74),49.71345325,6.49913601,5 Grand-Rue, L-6630 Wasserbillig
FO-POP186 (CT86),49.83622446,6.29213469,42 Grand-Rue, L-6310 Beaufort
FO-POP187 (CT87),49.78469155,6.22086983,8 Rue de Medernach, L-7619 Larochette
FO-POP189 (CT89),49.90584752,5.954222,1 Route de Goesdorf, L-9653 Goesdorf
FO-POP190 (CT90),49.93582396,6.08396507,2 Maarkebaach, L-9378 Hoscheid
FO-POP195 (CT95),49.9663745,5.93242696,3 Route de Kautenbach, L-9534 Wiltz




FO-POP134 (CT34),49.64930121,6.24152666,3 Chaussée St. Martin, L-6960 Senningen
FO-POP1218,49.88463776,5.9847936,6D Am Clemensbongert, L-9158 Heiderscheid
FO-POP1219,49.63385106,6.16583674,1A Rue Joseph Hess, L-1732 Luxembourg
FO-POP144 (CT44),49.60668423,6.10302882,1 Rue Yolande, L-2761 Luxembourg
FO-POP1129,49.57989059,6.16488679,Rue d'Itzig, L-5852 Hesperange
FO-POP156 (CT56),49.47553018,6.03993068,9 Rue Thomas Byrne, L-3761 Tetange
FO-POP169 (CT69),49.54657154,6.36131445,3 Place Nico Klopp, L-5539 Remich
FO-POP1231,49.61484825,6.06243749,28 Rue de Strassen, L-8094 Bertrange
FO-POP1267,49.54051505,6.26785754,21 Draikantonstrooss, L-5687 Dalheim
FO-POP150 (CT50),49.55509386,5.87687934,13 Avenue de la Gare, L-4734 Petange
FO-POP159 (CT59),49.51584228,5.93549527,168 Rue de Soleuvre, L-4487 Belvaux
